"ID_ESTADO","NOMBRE_ESTADO","ID_MUNICIPIO","MUNICIPIO","MEADE","ANAYA","AMLO","MARGARITA","BRONCO","NUM_VOTOS_CAN_NREG","NUM_VOTOS_NULOS","GANADOR"
7,"CHIAPAS",35,"FRONTERA HIDALGO-CAM",918,675,5219,0,142,1,359,"AMLO"
19,"NUEVO LEÓN",30,"HUALAHUISES-NLE",1588,831,803,11,598,2,96,"MEADE"
15,"MÉXICO",64,"OCUILAN-MEX",3874,3008,8707,1,374,0,667,"AMLO"
20,"OAXACA",284,"SAN MIGUEL TLACOTEPEC-OAX",126,149,819,0,22,0,68,"AMLO"
29,"TLAXCALA",40,"XALTOCAN-TLX",552,539,3686,4,221,6,113,"AMLO"
20,"OAXACA",35,"GUEVEA DE HUMBOLDT-OAX",663,120,1013,0,10,0,93,"AMLO"
22,"QUERÉTARO",2,"ARROYO SECO-QRO",1953,1814,3313,7,290,1,311,"AMLO"
21,"PUEBLA",67,"GUADALUPE-PUE",1492,1182,1130,0,25,0,111,"MEADE"
14,"JALISCO",124,"ZAPOTLANEJO-JAL",3739,10116,10133,15,2322,6,1106,"AMLO"
29,"TLAXCALA",58,"SANTA ANA NOPALUCAN-TLX",307,283,2502,0,47,0,42,"AMLO"
13,"HIDALGO",74,"TOLCAYUCA-HGO",1436,1517,4087,0,409,1,129,"AMLO"
21,"PUEBLA",44,"CUETZALAN DEL PROGRESO-PUE",6016,6083,8908,0,265,2,1362,"AMLO"
5,"COAHUILA",1,"ABASOLO-COL",351,282,245,0,13,0,10,"MEADE"
28,"TAMAULIPAS",8,"CASAS-TAM",991,1568,808,0,104,0,70,"ANAYA"
20,"OAXACA",241,"SAN MARTIN LACHILA-OAX",115,79,349,0,19,0,28,"AMLO"
20,"OAXACA",483,"SANTIAGO NUYOO-OAX",94,78,683,0,2,0,29,"AMLO"
30,"VERACRUZ",105,"MECAYAPAN-VER",1229,3238,3939,1,68,0,288,"AMLO"
16,"MICHOACÁN",50,"LAZARO CARDENAS-MIC",5238,7174,66393,9,2324,9,1978,"AMLO"
24,"SAN LUIS POTOSÍ",53,"VILLA JUAREZ-SLP",2223,1798,1061,0,123,1,251,"MEADE"
7,"CHIAPAS",36,"LA GRANDEZA-CAM",1309,307,1550,0,54,3,419,"AMLO"
5,"COAHUILA",2,"ACUÑA-COL",14685,15237,30167,0,3169,6,1524,"AMLO"
26,"SONORA",62,"ALAMOS-SON",3826,2592,4911,37,272,0,650,"AMLO"
7,"CHIAPAS",41,"LA INDEPENDENCIA-CAM",12865,859,7263,0,91,0,1770,"MEADE"
29,"TLAXCALA",12,"ESPAÑITA-TLX",836,795,2651,0,106,0,145,"AMLO"
30,"VERACRUZ",38,"COACOATZINTLA-VER",285,1693,2370,2,132,0,110,"AMLO"
16,"MICHOACÁN",97,"TUMBISCATIO-MIC",1006,1026,1560,0,34,3,107,"AMLO"
21,"PUEBLA",31,"COATEPEC-PUE",178,136,124,0,6,0,92,"MEADE"
20,"OAXACA",276,"SAN MIGUEL SOYALTEPEC-OAX",10376,2252,8933,7,117,6,398,"MEADE"
7,"CHIAPAS",15,"CACAHOATAN-CAM",5849,1265,15098,19,411,1,1241,"AMLO"
17,"MORELOS",24,"TLALTIZAPAN DE ZAPATA-MOR",2528,2909,17743,43,1129,3,762,"AMLO"
32,"ZACATECAS",1,"APOZOL-ZAC",1178,678,1302,19,70,0,106,"AMLO"
31,"YUCATÁN",87,"TETIZ-YUC",1015,1357,825,0,28,0,60,"ANAYA"
20,"OAXACA",466,"SANTIAGO IXCUINTEPEC-OAX",217,29,211,2,1,0,29,"MEADE"
13,"HIDALGO",47,"PACHUCA DE SOTO-HGO",27630,25477,89124,37,9478,104,2396,"AMLO"
20,"OAXACA",421,"SANTA MARIA LACHIXIO-OAX",72,231,509,3,9,0,31,"AMLO"
14,"JALISCO",108,"TUXCUECA-JAL",810,1232,1467,0,95,0,85,"AMLO"
20,"OAXACA",10,"AYOQUEZCO DE ALDAMA-OAX",122,272,1632,0,34,0,83,"AMLO"
25,"SINALOA",1,"AHOME-SIN",29728,25556,135145,65,5001,75,4000,"AMLO"
29,"TLAXCALA",55,"LAZARO CARDENAS-TLX",379,211,858,5,52,2,37,"AMLO"
15,"MÉXICO",36,"HUEHUETOCA-MEX",9230,11754,27855,86,3392,13,1155,"AMLO"
21,"PUEBLA",79,"HUEYTLALPAN-PUE",1473,1053,731,2,12,0,118,"MEADE"
20,"OAXACA",48,"MAGDALENA OCOTLAN-OAX",167,130,340,0,9,0,37,"AMLO"
23,"QUINTANA ROO",7,"OTHON P. BLANCO-ROO",9535,16612,72789,51,5158,67,2576,"AMLO"
21,"PUEBLA",14,"AMIXTLAN-PUE",889,885,822,1,7,0,164,"MEADE"
29,"TLAXCALA",53,"SAN DAMIAN TEXOLOC-TLX",231,281,2438,0,101,0,60,"AMLO"
20,"OAXACA",415,"SANTA MARIA HUAZOLOTITLAN-OAX",1620,987,3044,0,44,1,307,"AMLO"
20,"OAXACA",384,"SANTA CRUZ TAYATA-OAX",61,21,165,0,5,0,10,"AMLO"
21,"PUEBLA",136,"SAN MIGUEL IXITLAN-PUE",129,101,156,1,5,0,12,"AMLO"
31,"YUCATÁN",8,"CALOTMUL-YUC",1355,802,791,0,15,0,39,"MEADE"
15,"MÉXICO",105,"TLALNEPANTLA DE BAZ-MEX",67759,90461,198641,63,19063,219,7415,"AMLO"
13,"HIDALGO",7,"ALMOLOYA-HGO",1660,784,2949,5,225,0,156,"AMLO"
21,"PUEBLA",91,"JOPALA-PUE",1658,2412,2743,11,47,0,295,"AMLO"
30,"VERACRUZ",167,"TEQUILA-VER",1869,2301,2533,5,79,0,262,"AMLO"
14,"JALISCO",9,"EL ARENAL-JAL",1377,3357,3743,0,620,33,269,"AMLO"
30,"VERACRUZ",112,"MOLOACAN-VER",1502,1033,5375,5,134,0,240,"AMLO"
14,"JALISCO",69,"PUERTO VALLARTA-JAL",8609,23467,68985,172,5474,109,2962,"AMLO"
20,"OAXACA",342,"SAN SEBASTIAN IXCAPA-OAX",666,291,1262,2,9,0,38,"AMLO"
20,"OAXACA",147,"SAN FRANCISCO TELIXTLAHUACA-OAX",1144,508,5156,2,158,12,159,"AMLO"
20,"OAXACA",383,"SANTA CRUZ TACAHUA-OAX",51,30,387,0,0,0,21,"AMLO"
21,"PUEBLA",124,"SAN FELIPE TEPATLAN-PUE",927,432,869,3,9,0,94,"MEADE"
31,"YUCATÁN",39,"IXIL-YUC",911,775,844,0,78,0,60,"MEADE"
16,"MICHOACÁN",93,"TIQUICHEO DE NICOLAS ROMERO-MIC",2120,1024,3295,3,89,0,561,"AMLO"
