ano,estado,municipio,cve_inegi,id_estado,id_municipio,pea,pea_h,pea_m,pei,pei_h,pei_m,pea_ocupada,pea_ocupada_h,pea_ocupada_m,pea_desocupada,pea_desocupada_h,pea_desocupada_m,tpe,tpe_h,tpe_m
2010,Chihuahua,Cusihuiriachi,8018,8,18,2095,1766,329,2121,408,1713,2066,1737,329,29,29,0,49.31,80.31,16.05
2010,Chihuahua,Chihuahua,8019,8,19,351995,213927,138068,272989,86845,186144,334641,201420,133221,17354,12507,4847,56.06,70.78,42.39
2010,Chihuahua,Chinipas,8020,8,20,2549,2320,229,3530,892,2638,2287,2062,225,262,258,4,41.58,71.67,7.91
2010,Chihuahua,Delicias,8021,8,21,58147,37082,21065,48192,14851,33341,55256,34917,20339,2891,2165,726,54.48,71.09,38.6
2010,Chihuahua,Dr. Belisario Dominguez,8022,8,22,903,771,132,1509,457,1052,895,763,132,8,8,0,36.89,61.43,11.06
2010,Chihuahua,Galeana,8023,8,23,1901,1482,419,2149,512,1637,1851,1438,413,50,44,6,46.51,73.48,20.24
2010,Chihuahua,Santa Isabel,8024,8,24,1360,1033,327,1748,516,1232,1235,923,312,125,110,15,43.28,65.75,20.81
2010,Chihuahua,Gomez Farias,8025,8,25,3159,2284,875,3253,830,2423,3006,2153,853,153,131,22,48.98,72.65,26.47
2010,Chihuahua,Gran Morelos,8026,8,26,1246,986,260,1393,362,1031,1194,938,256,52,48,4,46.61,71.66,20.05
2010,Chihuahua,Guachochi,8027,8,27,17753,13589,4164,16749,3325,13424,17264,13172,4092,489,417,72,51.09,79.75,23.51
2010,Chihuahua,Guadalupe,8028,8,28,2102,1584,518,2536,751,1785,1981,1474,507,121,110,11,45.07,67.49,22.36
2010,Chihuahua,Guadalupe y Calvo,8029,8,29,16979,14796,2183,19472,3597,15875,16626,14490,2136,353,306,47,46.21,79.79,12
2010,Chihuahua,Guazapares,8030,8,30,3149,2557,592,3191,671,2520,3089,2504,585,60,53,7,49.37,78.63,18.94
2010,Chihuahua,Guerrero,8031,8,31,15053,11397,3656,15228,3747,11481,14127,10574,3553,926,823,103,49.41,74.59,24.07
2010,Chihuahua,Hidalgo del Parral,8032,8,32,42751,28202,14549,40216,11420,28796,40704,26604,14100,2047,1598,449,51.33,70.83,33.47
2010,Chihuahua,Huejotitan,8033,8,33,385,345,40,451,68,383,364,325,39,21,20,1,45.08,80.8,9.37
2010,Chihuahua,Ignacio Zaragoza,8034,8,34,2606,2027,579,2779,737,2042,2469,1905,564,137,122,15,47.92,72.21,22.01
2010,Chihuahua,Janos,8035,8,35,4272,3421,851,3530,687,2843,4160,3330,830,112,91,21,54.32,82.65,22.85
2010,Chihuahua,Jimenez,8036,8,36,16004,11191,4813,15219,4280,10939,14924,10363,4561,1080,828,252,51.03,71.91,30.46
2010,Chihuahua,Juarez,8037,8,37,530465,345981,184484,402323,116769,285554,496320,319186,177134,34145,26795,7350,56.26,73.89,38.86
2010,Chihuahua,Julimes,8038,8,38,1904,1468,436,1954,547,1407,1868,1443,425,36,25,11,48.53,71.57,23.29
2010,Chihuahua,Lopez,8039,8,39,1565,1251,314,1617,408,1209,1501,1194,307,64,57,7,48.77,74.51,20.52
2010,Chihuahua,Madera,8040,8,40,10637,8153,2484,11415,2913,8502,9944,7558,2386,693,595,98,48.04,73.25,22.56
2010,Chihuahua,Maguarichi,8041,8,41,715,577,138,675,158,517,651,517,134,64,60,4,51.4,78.4,21.07
2010,Chihuahua,Manuel Benavides,8042,8,42,600,513,87,660,181,479,559,474,85,41,39,2,47.17,73.29,15.21
2010,Chihuahua,Matachi,8043,8,43,1137,813,324,1303,413,890,1072,760,312,65,53,12,46.11,65.3,26.54
2010,Chihuahua,Matamoros,8044,8,44,1553,1244,309,1935,519,1416,1485,1191,294,68,53,15,44.02,69.27,17.84
2010,Chihuahua,Meoqui,8045,8,45,18170,12310,5860,14916,4066,10850,17654,11933,5721,516,377,139,54.55,74.48,34.91
2010,Chihuahua,Morelos,8046,8,46,2710,2357,353,3203,679,2524,2662,2314,348,48,43,5,45.51,77.03,12.19
2010,Chihuahua,Moris,8047,8,47,1774,1590,184,2115,462,1653,1670,1497,173,104,93,11,45.35,76.96,9.97
2010,Chihuahua,Namiquipa,8048,8,48,8684,7023,1661,8944,1891,7053,8524,6883,1641,160,140,20,48.79,77.77,18.95
2010,Chihuahua,Nonoava,8049,8,49,939,778,161,1188,339,849,828,677,151,111,101,10,43.43,68.19,15.77
2010,Chihuahua,Nuevo Casas Grandes,8050,8,50,23361,15647,7714,21257,6045,15212,21888,14612,7276,1473,1035,438,52.01,71.56,33.47
2010,Chihuahua,Ocampo,8051,8,51,2724,2306,418,2805,609,2196,2617,2212,405,107,94,13,48.97,78.46,15.93
2010,Chihuahua,Ojinaga,8052,8,52,9965,7260,2705,9412,2506,6906,9536,6879,2657,429,381,48,51.18,73.92,28.03
2010,Chihuahua,Praxedis G. Guerrero,8053,8,53,1575,1219,356,2020,588,1432,1475,1134,341,100,85,15,43.65,67.2,19.84
2010,Chihuahua,Riva Palacio,8054,8,54,2840,2569,271,2929,414,2515,2814,2545,269,26,24,2,48.88,85.66,9.64
